Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
970000,1.2624485,63.84615384615385,5.7951674,12.067896658724004,12.067896658724004,1.0
980000,1.2622848,84.1842105263158,5.6763797,15.349658288774283,15.349658288774283,1.0
990000,1.2616688,80.75213675213675,5.92643,14.916832478559119,14.916832478559119,1.0
1000000,1.2612474,74.40714285714286,5.8923607,13.672358621260246,13.672358621260246,1.0
1010000,1.2604837,76.37692307692308,6.1081967,13.878673579344767,13.878673579344767,1.0
1020000,1.2596139,80.30645161290323,6.222559,14.781615736705016,14.781615736705016,1.0
1030000,1.2594689,76.3046875,6.2392125,14.104779175836448,14.104779175836448,1.0
1040000,1.2593716,72.20610687022901,6.248967,13.222411015277146,13.222411015277146,1.0
1050000,1.258602,90.20183486238533,6.208409,15.892883894025186,15.892883894025186,1.0
1060000,1.2579141,82.34920634920636,6.4973907,14.735869992760913,14.735869992760913,1.0
1070000,1.257484,83.47368421052632,6.540459,15.938901940327987,15.938901940327987,1.0
1080000,1.2568954,85.19130434782609,6.5753307,15.770381592214108,15.770381592214108,1.0
1090000,1.255807,82.088,6.878407,15.301302546381951,15.301302546381951,1.0
1100000,1.2550129,79.65546218487395,6.968618,14.892319186895834,14.892319186895834,1.0
1110000,1.2543966,96.52475247524752,7.1637077,18.315205927499953,18.315205927499953,1.0
1120000,1.2536002,88.03478260869565,7.13685,16.73102367362171,16.73102367362171,1.0
1130000,1.2533667,94.00934579439253,7.3240905,17.634019791666006,17.634019791666006,1.0
1140000,1.2530029,96.07843137254902,7.4845867,17.805215366842116,17.805215366842116,1.0
1150000,1.251935,91.78899082568807,7.627006,16.869064217433333,16.869064217433333,1.0
1160000,1.2506863,93.41176470588235,7.8934216,17.183405940972484,17.183405940972484,1.0
1170000,1.2502826,100.95918367346938,8.046072,18.808952225638286,18.808952225638286,1.0
1180000,1.2500803,93.3644859813084,8.197306,17.59494833355752,17.59494833355752,1.0
1190000,1.2494488,92.85714285714286,8.260395,17.20858219805218,17.20858219805218,1.0
1200000,1.248598,90.50892857142857,8.183605,16.68293453959216,16.68293453959216,1.0
1210000,1.2480932,96.2,8.255037,17.98088581763208,17.98088581763208,1.0
1220000,1.2475849,94.13888888888889,8.505689,17.88252902386066,17.88252902386066,1.0
1230000,1.2470477,94.69158878504673,8.517128,17.6845362400981,17.6845362400981,1.0
1240000,1.2463498,87.4952380952381,8.613014,16.494756087944623,16.494756087944623,1.0
1250000,1.2456372,119.18604651162791,8.777139,22.080334448463777,22.080334448463777,1.0
1260000,1.2449793,117.3103448275862,8.866615,22.080919254190203,22.080919254190203,1.0
1270000,1.2447784,100.29166666666667,8.694457,18.54047129349783,18.54047129349783,1.0
1280000,1.2444024,93.45370370370371,9.020566,17.93768457447489,17.93768457447489,1.0
1290000,1.2440414,98.91176470588235,8.8224745,18.560624462351495,18.560624462351495,1.0
1300000,1.2436955,114.35365853658537,8.912192,20.93295661440815,20.93295661440815,1.0
1310000,1.243429,106.22916666666667,8.743352,19.37577255613481,19.37577255613481,1.0
1320000,1.2432572,96.49019607843137,8.909872,17.944894832723282,17.944894832723282,1.0
1330000,1.2428567,88.75700934579439,8.859135,16.538921985252994,16.538921985252994,1.0
1340000,1.2426876,116.47674418604652,9.115449,21.57730984705132,21.57730984705132,1.0
1350000,1.2425482,112.76404494382022,9.278243,21.840969426049426,21.840969426049426,1.0
1360000,1.2424868,107.43298969072166,9.250153,19.886834436777942,19.886834436777942,1.0
1370000,1.2424384,101.75555555555556,9.266184,18.87207330583216,18.87207330583216,1.0
1380000,1.242388,111.60215053763442,9.418489,21.048387858055293,21.048387858055293,1.0
1390000,1.2421668,99.45263157894736,9.1860895,18.646078621413796,18.646078621413796,1.0
1400000,1.2419274,106.73684210526316,9.148701,19.941427720400196,19.941427720400196,1.0
1410000,1.2417196,118.7710843373494,9.197864,22.17063758432506,22.17063758432506,1.0
1420000,1.2415118,108.02127659574468,9.368673,19.969302772722664,19.969302772722664,1.0
1430000,1.2413833,111.93023255813954,9.332219,21.05730697793119,21.05730697793119,1.0
1440000,1.2414047,117.65,9.56641,21.39728886689301,21.39728886689301,1.0
1450000,1.2413746,114.21978021978022,9.643048,22.010558674192946,22.010558674192946,1.0
1460000,1.2412918,105.23913043478261,9.488003,19.874216208355907,19.874216208355907,1.0
1470000,1.2412499,111.2967032967033,9.646106,20.923702269465057,20.923702269465057,1.0
1480000,1.2412452,117.69047619047619,9.264072,21.87912906526801,21.87912906526801,1.0
1490000,1.2412132,107.03225806451613,9.440271,20.94873524710853,20.94873524710853,1.0
1500000,1.2412004,113.10344827586206,9.423018,21.402431188301108,21.402431188301108,1.0
